"Date_evenement";"Femmes_0_24ans_Deces2020";"Femmes_25_49ans_Deces2020";"Femmes_50_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_24ans_Deces2020";"Hommes_25_49ans_Deces2020";"Hommes_50_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_24ans_Deces2019";"Femmes_25_49ans_Deces2019";"Femmes_50_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_24ans_Deces2019";"Hommes_25_49ans_Deces2019";"Hommes_50_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_24ans_Deces2018";"Femmes_25_49ans_Deces2018";"Femmes_50_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_24ans_Deces2018";"Hommes_25_49ans_Deces2018";"Hommes_50_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"01/03/2020";"5";"14";"63";"90";"180";"537";"11";"42";"131";"160";"200";"341";"3";"23";"72";"105";"158";"626";"9";"52";"119";"158";"196";"351";"8";"24";"72";"106";"204";"658";"11";"46";"129";"204";"256";"418";"FE";"France"
"02/03/2020";"12";"30";"113";"175";"330";"1102";"20";"74";"269";"316";"434";"676";"6";"36";"143";"206";"313";"1231";"26";"87";"240";"338";"444";"712";"18";"45";"146";"226";"405";"1365";"21";"96";"284";"409";"513";"799";"FE";"France"
"03/03/2020";"19";"58";"183";"274";"481";"1585";"26";"122";"410";"496";"650";"1005";"14";"50";"214";"292";"479";"1781";"33";"130";"358";"509";"646";"1024";"25";"65";"217";"305";"613";"2086";"32";"134";"414";"590";"761";"1213";"FE";"France"
"04/03/2020";"25";"76";"242";"359";"641";"2171";"34";"164";"540";"656";"875";"1326";"21";"72";"282";"390";"653";"2398";"45";"171";"473";"684";"854";"1367";"31";"98";"300";"393";"798";"2802";"39";"180";"548";"775";"989";"1592";"FE";"France"
"05/03/2020";"30";"97";"309";"457";"779";"2704";"44";"200";"669";"825";"1108";"1653";"27";"92";"345";"481";"836";"2968";"59";"215";"610";"868";"1063";"1714";"34";"114";"363";"493";"1013";"3529";"46";"222";"703";"974";"1262";"1993";"FE";"France"
"06/03/2020";"35";"120";"371";"553";"965";"3235";"55";"240";"789";"1009";"1330";"2009";"36";"113";"409";"584";"1017";"3533";"67";"249";"731";"1068";"1283";"2058";"41";"134";"442";"584";"1211";"4212";"59";"261";"843";"1171";"1537";"2409";"FE";"France"
"07/03/2020";"39";"134";"441";"634";"1123";"3754";"63";"276";"908";"1163";"1538";"2317";"47";"139";"485";"679";"1166";"4142";"79";"281";"851";"1237";"1500";"2401";"45";"156";"505";"689";"1398";"4897";"70";"301";"965";"1374";"1781";"2777";"FE";"France"
"08/03/2020";"43";"153";"499";"726";"1281";"4280";"72";"319";"1008";"1337";"1749";"2623";"54";"167";"542";"770";"1337";"4671";"89";"323";"981";"1426";"1721";"2726";"50";"172";"582";"770";"1594";"5601";"87";"338";"1091";"1569";"2018";"3192";"FE";"France"
"09/03/2020";"45";"177";"571";"842";"1442";"4799";"78";"362";"1141";"1529";"1948";"2964";"61";"186";"607";"877";"1494";"5218";"97";"351";"1100";"1590";"1924";"3075";"58";"194";"654";"881";"1772";"6265";"99";"384";"1213";"1745";"2253";"3594";"FE";"France"
"10/03/2020";"54";"195";"628";"929";"1590";"5399";"86";"397";"1278";"1722";"2161";"3275";"64";"210";"661";"965";"1628";"5755";"103";"384";"1196";"1771";"2121";"3389";"71";"215";"726";"974";"1972";"6949";"106";"422";"1365";"1931";"2498";"3969";"FE";"France"
"11/03/2020";"61";"221";"699";"1021";"1760";"6002";"93";"424";"1395";"1884";"2381";"3655";"71";"230";"725";"1056";"1782";"6340";"109";"428";"1339";"1942";"2295";"3696";"80";"241";"789";"1068";"2161";"7610";"110";"466";"1496";"2088";"2700";"4331";"FE";"France"
"12/03/2020";"72";"237";"771";"1116";"1943";"6540";"101";"457";"1509";"2072";"2576";"3982";"76";"257";"798";"1150";"1950";"6856";"117";"470";"1441";"2113";"2493";"3998";"88";"261";"851";"1180";"2356";"8296";"120";"500";"1645";"2264";"2917";"4709";"FE";"France"
"13/03/2020";"77";"259";"831";"1213";"2100";"7084";"117";"496";"1624";"2235";"2768";"4321";"80";"276";"852";"1246";"2127";"7380";"126";"503";"1549";"2286";"2680";"4305";"95";"281";"924";"1283";"2516";"8934";"130";"542";"1783";"2441";"3143";"5095";"FE";"France"
